,,,,"lmcut",,,,,,"lsudA",,,,,,"HHH 10K",,,,,,,"HHH 100K",,,,,,,"blind",,,,,,,"h_max",,,,,,,"hsp_f",,,,,"Gamer",
"logistics-aips2000","probLOGISTICS-05-2.pddl",8,8,8,9,49,59," 0s"," 0s",8,8,"0.01s","0s",9,59,8,8,9,49,59," 0s"," 0.09s",8,8,9,49,59," 0s"," 0.38s",8,1,1031,1706,7178," 0s"," 0s",8,2,280,587,1950," 0s"," 0s",8,8,9,0.78,0.78,8,0.28
"logistics-aips2000","probLOGISTICS-06-0.pddl",25,25,23,934,3397,8123," 0.83s"," 0.83s",25,23,"0.67s","0.67s",934,8123,25,25,26,203,239," 0s"," 0.18s",25,25,26,203,239," 0s"," 1.23s",25,1,490207,556098,4043833," 3.4s"," 3.4s",25,6,202229,269989,1676350," 1.92s"," 1.92s",25,25,26,1.03,1.03,25,0.36
"logistics-aips2000","probLOGISTICS-06-1.pddl",14,14,13,35,200,288," 0.02s"," 0.02s",14,13,"0.02s","0.02s",35,288,14,14,15,101,118," 0s"," 0.18s",14,14,15,101,118," 0s"," 1.26s",14,1,24881,36485,196520," 0.16s"," 0.16s",14,6,3604,6661,27880," 0.03s"," 0.03s",14,14,15,1.16,1.16,14,0.3
"logistics-aips2000","probLOGISTICS-06-2.pddl",25,25,23,516,1890,4351," 0.5s"," 0.5s",25,23,"0.37s","0.36s",516,4351,25,25,26,199,234," 0s"," 0.19s",25,25,26,199,234," 0.01s"," 1.26s",25,1,476661,544020,3937581," 3.32s"," 3.32s",25,6,200012,267670,1658430," 1.98s"," 1.98s",25,25,26,1.03,1.03,25,0.36
"logistics-aips2000","probLOGISTICS-06-9.pddl",24,24,21,537,1624,4093," 0.43s"," 0.43s",24,21,"0.31s","0.3s",537,4093,24,24,25,165,197," 0s"," 0.18s",24,24,25,165,197," 0s"," 1.22s",24,1,422557,488940,3487105," 2.95s"," 2.95s",24,6,133521,187026,1102495," 1.29s"," 1.29s",24,24,25,1.02,1.02,24,0.35
"logistics-aips2000","probLOGISTICS-07-0.pddl",36,36,33,7751,32498,89185," 16.85s"," 16.85s",36,33,"9.84s","9.83s",7751,89185,36,36,525,3864,6489," 0.01s"," 0.65s",36,36,37,388,442," 0s"," 4.87s"," "," "," "," "," "," ",," "," "," "," "," "," ",,36,33,24317,35.46,35.46,36,6.39
"logistics-aips2000","probLOGISTICS-07-1.pddl",44,44,39,155289,458728,1744602," 260.55s"," 260.55s",44,39,"220.08s","220.07s",155289,1744602,44,42,666324,2345080,7769956," 8.21s"," 8.83s",44,44,49,519,601," 0s"," 4.94s"," "," "," "," "," "," ",," "," "," "," "," "," ",,44,40,362179,453.05,453.06,44,16.9
"logistics-aips2000","probLOGISTICS-08-0.pddl",31,31,29,3269,14992,38235," 7.42s"," 7.42s",31,29,"3.73s","3.72s",3269,38235,31,31,1042,6446,12514," 0.01s"," 0.96s",31,31,32,337,385," 0s"," 6.9s"," "," "," "," "," "," ",," "," "," "," "," "," ",,31,28,14890,33.5,33.5,31,3.9
"logistics-aips2000","probLOGISTICS-08-1.pddl",44,44,41,43665,161130,540757," 113.12s"," 113.12s",44,41,"71.79s","71.78s",43665,540757,44,43,16708,90802,217104," 0.22s"," 1.15s",44,44,45,536,606," 0s"," 7.21s"," "," "," "," "," "," ",," "," "," "," "," "," ",,44,41,114155,198.84,198.84,44,19.95
"logistics-aips2000","probLOGISTICS-09-0.pddl",36,36,33,14090,71837,179428," 42.11s"," 42.11s",36,33,"21.16s","21.15s",14090,179428,36,35,20950,105368,251810," 0.27s"," 1.56s",36,36,37,394,448," 0s"," 9.46s"," "," "," "," "," "," ",," "," "," "," "," "," ",,36,33,32017,83.16,83.16,36,5.81
"logistics-aips2000","probLOGISTICS-09-1.pddl",30,30,29,707,5339,9583," 2.56s"," 2.56s",30,29,"1.05s","1.04s",707,9583,30,30,31,367,410," 0s"," 1.27s",30,30,31,367,410," 0.01s"," 9.43s"," "," "," "," "," "," ",," "," "," "," "," "," ",,30,28,6720,26.48,26.48,30,2.86
"logistics-aips2000","probLOGISTICS-10-0.pddl",45,45,41,193846,891474,3017525," 883.38s"," 883.38s",45,41,"416.06s","416.04s",194038,3020789," "," "," "," "," "," ",,45,44,668834,3091607,9997254," 11.52s"," 29.73s"," "," "," "," "," "," ",," "," "," "," "," "," ",,45,41,599645,3375.97,3375.97,45,609.84
"logistics-aips2000","probLOGISTICS-10-1.pddl",42,42,39,165006,862323,2567222," 757.75s"," 757.75s",42,39,"356.38s","356.36s",166190,2587766," "," "," "," "," "," ",,42,41,1457130,6238236,22275204," 25.14s"," 43s",,,,,,,," "," "," "," "," "," ",," ",,,,,42,478.75
"logistics-aips2000","ProbLOGISTICS-11-0.pddl",48,48,45,156585,980662,2631688," 1103.94s"," 1103.94s",48,45,"486.29s","486.27s",156585,2631688," ",,,,,,,48,48,701106,5044242,11538813,"14.94s","37.42s",,,,,,,,,,,,,,," ",,,,,48,847.24
"logistics-aips2000","probLOGISTICS-11-1.pddl",60," "," "," "," "," "," ",,,55,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," ",,,,," ",
"logistics-aips2000","probLOGISTICS-12-0.pddl",42,42,39,116555,769346,2009211," 806.76s"," 806.76s",42,39,"290.77s","290.75s",117387,2025691," "," "," "," "," "," ",,42,41,775996,4294849,12437931," 16s"," 43.56s",,,,,,,," "," "," "," "," "," ",," ",,,,,42,444.49
"logistics-aips2000","probLOGISTICS-12-1.pddl",68," "," "," "," "," "," ",,,63,,,,," "," "," "," "," "," ",,68,68,2222340,21291634,41792621," 60.04s"," 87.47s",,,,,,,," "," "," "," "," "," ",," ",,,,," ",
"logistics-aips2000","probLOGISTICS-13-0.pddl",," "," "," "," "," "," ",,,66,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," ",,,,," ",
"logistics-aips2000","probLOGISTICS-13-1.pddl",," "," "," "," "," "," ",,,56,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," ",,,,," ",
"logistics-aips2000","probLOGISTICS-14-0.pddl",," "," "," "," "," "," ",,,55,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," ",,,,," ",
"logistics-aips2000","probLOGISTICS-14-1.pddl",," "," "," "," "," "," ",,,66,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," ",,,,," ",
"logistics-aips2000","probLOGISTICS-15-0.pddl",," "," "," "," "," "," ",,,70,,,,,,,,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," ",,,,," ",
"logistics-aips2000","probLOGISTICS-15-1.pddl",," "," "," "," "," "," ",,,62,,,,,,,,,,,," "," "," "," "," "," ",,,,,,,,," "," "," "," "," "," ",," ",,,,," ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"logistics-AIPS98","prob01.pddl",26,26,24,10292,103715,227320," 64.41s"," 64.43s",26,24," 44.88s"," 44.87s",34429,761406,26,21,1918881,7368551,40810386," 38.66s"," 41.03s",26,24,949586,4616327,20315165," 20.11s"," 34.82s"," "," "," "," "," "," ",," "," "," "," "," "," ",,26,22,211955,1700.26,1700.26,26,58.45
"logistics-AIPS98","prob02.pddl",," "," "," "," "," "," ",,,27," "," "," "," "," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob03.pddl",," "," "," "," "," "," ",,,49," "," "," "," "," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob04.pddl",," "," "," "," "," "," ",,,39," "," "," "," "," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob05.pddl",22,22,22,30,554,656," 0.24s"," 0.24s",22,21," 0.97s"," 0.96s",757,16954,22,18,768161,2765636,17421435," 16.09s"," 18.69s",22,20,609393,2334430,13875726," 13.9s"," 35.27s"," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,,22,6.71
"logistics-AIPS98","prob06.pddl",," "," "," "," "," "," ",,,62,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob07.pddl",," "," "," "," "," "," ",,,18,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob08.pddl",," "," "," "," "," "," ",,,36,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob09.pddl",," "," "," "," "," "," ",,,70,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob10.pddl",," "," "," "," "," "," ",,,92,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob11.pddl",," "," "," "," "," "," ",,,14,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob12.pddl",," "," "," "," "," "," ",,,25,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob13.pddl",," "," "," "," "," "," ",,,46,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob14.pddl",," "," "," "," "," "," ",,,42,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob15.pddl",," "," "," "," "," "," ",,,66,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob16.pddl",," "," "," "," "," "," ",,,28,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob17.pddl",," "," "," "," "," "," ",,,16,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob18.pddl",," "," "," "," "," "," ",,,112,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob19.pddl",," "," "," "," "," "," ",,,86,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob20.pddl",," "," "," "," "," "," ",,,104,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob21.pddl",," "," "," "," "," "," ",,,69,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob22.pddl",," "," "," "," "," "," ",,,171,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob23.pddl",," "," "," "," "," "," ",,,90,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob24.pddl",," "," "," "," "," "," ",,,16,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob25.pddl",," "," "," "," "," "," ",,,141,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob26.pddl",7," "," "," "," "," "," ",,,162,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,,7,288.69
"logistics-AIPS98","prob27.pddl",," "," "," "," "," "," ",,,108,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob28.pddl",," "," "," "," "," "," ",,,156,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob29.pddl",," "," "," "," "," "," ",,,197,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob30.pddl",," "," "," "," "," "," ",,,98,,,,," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob31.pddl",13,13,12,68,628,1041," 0.1s"," 0.1s",13,12," 0.05s"," 0.05s",88,1345,13,13,494,3037,7731," 0.01s"," 0.42s",13,13,14,180,202," 0.01s"," 2.11s",13,1,155645,235082,2431566," 1.66s"," 1.66s",13,4,32282,62949,506348," 0.57s"," 0.57s",13,11,481,6.58,6.58,13,0.49
"logistics-AIPS98","prob32.pddl",20,20,17,288,1479,3304," 0.35s"," 0.35s",20,16," 0.42s"," 0.42s",1377,15796,20,20,21,207,236," 0s"," 0.16s",20,20,21,207,236," 0s"," 0.72s",20,1,245325,285845,2779015," 2.07s"," 2.07s",20,6,81156,117722,926324," 1s"," 1s",20,14,9598,7.08,7.08,20,0.93
"logistics-AIPS98","prob33.pddl",27,27,25,88629,816049,1805093," 456.9s"," 456.91s",,23," "," "," "," "," "," "," "," "," "," ",,27,26,529338,3699310,10873140," 13.76s"," 32.55s"," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,,27,43.2
"logistics-AIPS98","prob34.pddl",," "," "," "," "," "," ",,,39," "," "," "," "," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
"logistics-AIPS98","prob35.pddl",30,30,29,1682,53379,68246," 55.42s"," 55.43s",30,29," 47.9s"," 47.86s",12609,522968," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," "," "," "," "," "," ",," ",,,,," ",
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Miconic-strips","s01-0.pddl",4,4,3,5,5,7," 0s"," 0s",4,3," 0s"," 0s",5,7,4,4,5,5,7," 0s"," 0s",4,4,5,5,7," 0s"," 0s",4,1,5,5,7," 0s"," 0s",4,3,5,5,7," 0s"," 0s",4,2,5,0,0,4,0.17
"Miconic-strips","s01-1.pddl",3,3,3,4,5,6," 0s"," 0s",3,3," 0s"," 0s",4,6,3,3,4,5,6," 0s"," 0s",3,3,4,5,6," 0s"," 0s",3,1,5,5,7," 0s"," 0s",3,2,4,5,6," 0s"," 0s",3,3,4,0,0,3,0.14
"Miconic-strips","s01-2.pddl",4,4,3,5,5,7," 0s"," 0s",4,3," 0s"," 0s",5,7,4,4,5,5,7," 0s"," 0s",4,4,5,5,7," 0s"," 0s",4,1,5,5,7," 0s"," 0s",4,3,5,5,7," 0s"," 0s",4,2,5,2.11E-019,0,4,0.14
"Miconic-strips","s01-3.pddl",4,4,3,5,5,7," 0s"," 0s",4,3," 0s"," 0s",5,7,4,4,5,5,7," 0s"," 0s",4,4,5,5,7," 0s"," 0s",4,1,5,5,7," 0s"," 0s",4,3,5,5,7," 0s"," 0s",4,2,5,0,0,4,0.14
"Miconic-strips","s01-4.pddl",4,4,3,5,5,7," 0s"," 0s",4,3," 0s"," 0s",5,7,4,4,5,5,7," 0s"," 0s",4,4,5,5,7," 0s"," 0s",4,1,5,5,7," 0s"," 0s",4,3,5,5,7," 0s"," 0s",4,2,5,0,0,4,0.14
"Miconic-strips","s02-0.pddl",7,7,7,9,18,32," 0s"," 0s",7,7," 0s"," 0s",9,32,7,7,8,18,29," 0s"," 0s",7,7,8,18,29," 0s"," 0s",7,1,30,36,106," 0s"," 0s",7,3,20,27,72," 0s"," 0s",7,4,26,0,0,7,0.16
"Miconic-strips","s02-1.pddl",7,7,6,8,18,28," 0s"," 0s",7,6," 0s"," 0s",8,28,7,7,8,18,28," 0s"," 0s",7,7,8,18,28," 0s"," 0s",7,1,30,39,108," 0s"," 0s",7,3,22,31,79," 0s"," 0s",7,4,26,0.01,0.01,7,0.16
"Miconic-strips","s02-2.pddl",7,7,6,8,18,28," 0s"," 0s",7,6," 0s"," 0s",8,28,7,7,8,18,28," 0s"," 0s",7,7,8,18,28," 0s"," 0s",7,1,30,39,108," 0s"," 0s",7,3,22,31,79," 0s"," 0s",7,4,27,0,0.01,7,0.16
"Miconic-strips","s02-3.pddl",7,7,7,8,18,28," 0s"," 0s",7,7," 0s"," 0s",8,28,7,7,8,18,28," 0s"," 0s",7,7,8,18,28," 0s"," 0s",7,1,26,33,92," 0s"," 0s",7,3,17,24,61," 0s"," 0s",7,4,20,0,0,7,0.16
"Miconic-strips","s02-4.pddl",7,7,6,11,22,40," 0s"," 0s",7,6," 0s"," 0s",11,40,7,7,8,18,29," 0s"," 0s",7,7,8,18,29," 0s"," 0s",7,1,31,39,111," 0s"," 0s",7,3,20,27,72," 0s"," 0s",7,4,23,0.01,0.01,7,0.16
"Miconic-strips","s03-0.pddl",10,10,10,14,46,81," 0s"," 0s",10,10," 0s"," 0s",14,81,10,10,11,40,64," 0s"," 0s",10,10,11,40,64," 0s"," 0s",10,1,193,238,1095," 0s"," 0s",10,3,105,160,600," 0s"," 0s",10,6,100,0.02,0.02,10,0.19
"Miconic-strips","s03-1.pddl",11,11,10,23,69,132," 0s"," 0s",11,10," 0s"," 0s",23,132,11,11,12,39,67," 0s"," 0s",11,11,12,39,67," 0s"," 0s",11,1,218,256,1242," 0s"," 0s",11,3,150,196,854," 0s"," 0s",11,6,140,0.03,0.03,11,0.19
"Miconic-strips","s03-2.pddl",10,10,9,11,40,62," 0s"," 0s",10,9," 0s"," 0s",11,62,10,10,11,40,62," 0s"," 0s",10,10,11,40,62," 0s"," 0s",10,1,164,210,931," 0s"," 0s",10,3,92,150,528," 0s"," 0s",10,6,122,0.03,0.03,10,0.2
"Miconic-strips","s03-3.pddl",10,10,9,11,39,62," 0s"," 0s",10,9," 0s"," 0s",11,62,10,10,11,39,62," 0s"," 0s",10,10,11,39,62," 0s"," 0s",10,1,197,245,1122," 0s"," 0s",10,3,130,182,742," 0s"," 0s",10,6,131,0.03,0.03,10,0.19
"Miconic-strips","s03-4.pddl",10,10,9,11,40,62," 0s"," 0s",10,9," 0s"," 0s",11,62,10,10,11,40,62," 0s"," 0s",10,10,11,40,62," 0s"," 0s",10,1,190,238,1082," 0s"," 0s",10,3,114,171,655," 0s"," 0s",10,6,114,0.02,0.03,10,0.21
"Miconic-strips","s04-0.pddl",14,14,14,16,67,121," 0s"," 0s",14,14," 0s"," 0s",16,121,14,14,15,67,114," 0s"," 0.01s",14,14,15,67,114," 0s"," 0.01s",14,1,1182,1391,9125," 0s"," 0s",14,3,866,1112,6692," 0s"," 0s",14,8,669,0.1,0.1,14,0.22
"Miconic-strips","s04-1.pddl",13,13,13,15,67,114," 0s"," 0s",13,13," 0s"," 0s",15,114,13,13,14,67,107," 0s"," 0.01s",13,13,14,67,107," 0s"," 0.01s",13,1,1176,1383,9073," 0s"," 0s",13,3,860,1095,6644," 0s"," 0s",13,8,634,0.1,0.1,13,0.23
"Miconic-strips","s04-2.pddl",15,15,14,17,66,126," 0s"," 0s",15,14," 0s"," 0s",17,126,15,15,16,66,119," 0s"," 0.01s",15,15,16,66,119," 0s"," 0.01s",15,1,1277,1457,9841," 0s"," 0s",15,3,969,1150,7468," 0s"," 0s",15,8,822,0.11,0.11,15,0.22
"Miconic-strips","s04-3.pddl",15,15,14,19,74,142," 0s"," 0s",15,14," 0s"," 0s",19,142,15,15,16,66,119," 0s"," 0.01s",15,15,16,66,119," 0s"," 0.01s",15,1,1319,1508,10169," 0s"," 0s",15,3,970,1154,7476," 0s"," 0s",15,8,820,0.11,0.12,15,0.22
"Miconic-strips","s04-4.pddl",15,15,15,21,74,156," 0s"," 0s",15,15," 0s"," 0s",21,156,15,15,16,66,119," 0s"," 0.01s",15,15,16,66,119," 0s"," 0.01s",15,1,1334,1508,10285," 0s"," 0s",15,3,969,1150,7468," 0s"," 0s",15,8,821,0.11,0.12,15,0.22
"Miconic-strips","s05-0.pddl",17,17,17,22,114,210," 0.01s"," 0.01s",17,17," 0.01s"," 0.01s",22,210,17,17,18,104,173," 0s"," 0.06s",17,17,18,104,173," 0s"," 0.05s",17,1,6350,7229,61782," 0.03s"," 0.03s",17,3,4387,5408,42683," 0.03s"," 0.03s",17,10,2829,0.44,0.44,17,0.27
"Miconic-strips","s05-1.pddl",17,17,16,20,106,192," 0.01s"," 0.01s",17,16," 0.01s"," 0.01s",20,192,17,17,18,106,174," 0s"," 0.06s",17,17,18,106,174," 0s"," 0.05s",17,1,6602,7473,64227," 0.03s"," 0.03s",17,3,4664,5650,45367," 0.03s"," 0.03s",17,10,3260,0.49,0.49,17,0.27
"Miconic-strips","s05-2.pddl",15,15,14,17,109,170," 0s"," 0s",15,14," 0.01s"," 0.01s",17,170,15,15,16,109,161," 0s"," 0.06s",15,15,16,109,161," 0s"," 0.05s",15,1,5565,6658,54201," 0.03s"," 0.03s",15,3,3524,4697,34380," 0.03s"," 0.03s",15,10,1594,0.31,0.31,15,0.28
"Miconic-strips","s05-3.pddl",17,17,17,20,114,192," 0.01s"," 0.01s",17,17," 0.01s"," 0.01s",20,192,17,17,18,104,173," 0s"," 0.06s",17,17,18,104,173," 0s"," 0.05s",17,1,5944,6862,57790," 0.03s"," 0.03s",17,3,4140,5098,40238," 0.03s"," 0.03s",17,10,2568,0.42,0.42,17,0.27
"Miconic-strips","s05-4.pddl",18,18,17,24,113,228," 0.01s"," 0.01s",18,17," 0.01s"," 0.01s",24,228,18,18,19,103,181," 0s"," 0.06s",18,18,19,103,181," 0s"," 0.05s",18,1,6949,7761,67603," 0.04s"," 0.04s",18,3,5268,6286,51259," 0.04s"," 0.04s",18,10,3953,0.55,0.56,18,0.27
"Miconic-strips","s06-0.pddl",19,19,18,32,249,390," 0.03s"," 0.03s",19,18," 0.02s"," 0.02s",32,390,19,19,20,153,240," 0s"," 0.18s",19,19,20,153,240," 0s"," 0.32s",19,1,30786,34974,361387," 0.2s"," 0.2s",19,3,21194,26218,248818," 0.2s"," 0.2s",19,12,9312,1.77,1.77,19,0.33
"Miconic-strips","s06-1.pddl",19,19,19,24,161,280," 0.02s"," 0.02s",19,19," 0.02s"," 0.02s",24,280,19,19,20,149,234," 0s"," 0.18s",19,19,20,149,234," 0s"," 0.32s",19,1,30093,34211,353084," 0.2s"," 0.2s",19,3,21255,25860,249382," 0.2s"," 0.2s",19,12,10252,1.96,1.97,19,0.34
"Miconic-strips","s06-2.pddl",20,20,19,28,186,328," 0.02s"," 0.02s",20,19," 0.02s"," 0.02s",28,328,20,20,21,150,246," 0s"," 0.18s",20,20,21,150,246," 0s"," 0.32s",20,1,32390,36053,379953," 0.21s"," 0.21s",20,3,21694,25931,254337," 0.21s"," 0.21s",20,12,11247,2.1,2.11,20,0.33
"Miconic-strips","s06-3.pddl",20,20,18,132,783,1578," 0.1s"," 0.1s",20,18," 0.09s"," 0.09s",132,1578,20,20,21,150,246," 0s"," 0.17s",20,20,21,150,246," 0s"," 0.32s",20,1,32574,36450,382494," 0.21s"," 0.21s",20,3,24552,29842,288562," 0.23s"," 0.23s",20,12,14216,2.56,2.56,20,0.32
"Miconic-strips","s06-4.pddl",21,21,20,27,160,312," 0.02s"," 0.02s",21,20," 0.02s"," 0.02s",27,312,21,21,22,148,255," 0s"," 0.17s",21,21,22,148,255," 0s"," 0.32s",21,1,33793,37526,396555," 0.22s"," 0.22s",21,3,26167,30753,307076," 0.24s"," 0.24s",21,12,16880,3.04,3.04,21,0.33
"Miconic-strips","s07-0.pddl",23,23,23,27,217,371," 0.03s"," 0.03s",23,23," 0.03s"," 0.03s",27,371,23,23,24,203,330," 0s"," 0.32s",23,23,24,203,330," 0s"," 1.75s",23,1,155466,171632,2136247," 1.22s"," 1.22s",23,3,116685,136963,1603545," 1.32s"," 1.32s",23,14,56686,14.26,14.26,23,0.42
"Miconic-strips","s07-1.pddl",24,24,24,34,243,463," 0.04s"," 0.04s",24,24," 0.04s"," 0.04s",34,463,24,23,7001,15476,96729," 0.07s"," 0.38s",24,24,25,201,340," 0s"," 1.75s",24,1,164470,178594,2258838," 1.29s"," 1.29s",24,3,118494,136609,1626679," 1.33s"," 1.33s",24,14,63035,16.29,16.29,24,0.41
"Miconic-strips","s07-2.pddl",22,22,22,37,317,526," 0.05s"," 0.05s",22,22," 0.04s"," 0.04s",37,526,22,22,1646,5388,22915," 0.02s"," 0.33s",22,22,23,205,322," 0.01s"," 1.71s",22,1,161342,177455,2217256," 1.27s"," 1.27s",22,3,119688,140799,1645083," 1.36s"," 1.36s",22,14,55751,13.89,13.89,22,0.42
"Miconic-strips","s07-3.pddl",22,22,22,28,216,383," 0.03s"," 0.03s",22,22," 0.03s"," 0.03s",28,383,22,22,1861,5032,25970," 0.02s"," 0.33s",22,22,23,202,316," 0s"," 1.74s",22,1,155176,171821,2132042," 1.23s"," 1.23s",22,3,114649,134964,1575140," 1.3s"," 1.3s",22,14,53121,13.32,13.32,22,0.45
"Miconic-strips","s07-4.pddl",25,25,25,28,199,375," 0.03s"," 0.03s",25,25," 0.03s"," 0.03s",28,375,25,23,23159,38360,318730," 0.21s"," 0.52s",25,25,26,199,349," 0s"," 1.71s",25,1,168219,181542,2310086," 1.33s"," 1.33s",25,3,140128,156600,1923776," 1.58s"," 1.58s",25,14,96327,24.62,24.62,25,0.42
"Miconic-strips","s08-0.pddl",27,27,27,31,278,484," 0.06s"," 0.06s",27,27," 0.05s"," 0.04s",31,484,27,25,41629,90187,657907," 0.44s"," 0.91s",27,27,28,262,437," 0s"," 4.18s",27,1,755255,819145,11887129," 7.16s"," 7.16s",27,3,594032,675026,9348347," 7.95s"," 7.95s",27,16,290649,104.19,104.19,27,0.53
"Miconic-strips","s08-1.pddl",27,27,26,556,3699,8853," 0.9s"," 0.9s",27,26," 0.67s"," 0.66s",556,8853,27,25,42679,87587,671796," 0.45s"," 0.9s",27,27,28,263,439," 0s"," 4.25s",27,1,794365,853029,12502885," 7.56s"," 7.56s",27,3,636587,714497,10017353," 8.66s"," 8.66s",27,16,339177,123.21,123.21,27,0.55
"Miconic-strips","s08-2.pddl",26,26,25,34,328,536," 0.07s"," 0.07s",26,25," 0.05s"," 0.05s",34,536,26,24,37744,83479,597324," 0.4s"," 0.86s",26,26,27,264,425," 0s"," 4.25s",26,1,731622,800236,11514827," 6.92s"," 6.92s",26,3,534711,618980,8414178," 7.37s"," 7.37s",26,16,204614,73.19,73.19,26,0.5
