Domain, Problem,h*, lsud,hLA, lsuda, lsd, lsda,h+,coles-etal,add_h_max (aaai05),h_max
PW-Tankage, p18_net2_b16_g7_t60.pddl,,9,9,9,11,11,fail,6,,6
PW-Tankage, p19_net2_b18_g6_t60.pddl,,8,8,8,9,9,fail,5,,5
PW-Tankage, p20_net2_b18_g8_t90.pddl,,9,9,9,10,10,fail,6,,6
PW-Tankage, P21_NET3_B12_G2_T60.PDDL,14,5,5,5,6,6,9,5,,5
PW-Tankage, P22_NET3_B12_G4_T60.PDDL,,10,10,10,13,13,fail,9,,9
PW-Tankage, P23_NET3_B14_G3_T60.PDDL,,10,10,10,10,10,fail,6,,6
PW-Tankage, P24_NET3_B14_G5_T60.PDDL,,12,12,12,13,13,fail,6,,6
PW-Tankage, P25_NET3_B16_G5_T60.PDDL,,10,10,10,14,14,fail,8,,8
PW-Tankage, P26_NET3_B16_G7_T70.PDDL,,12,12,12,14,14,fail,8,,8
PW-Tankage, P27_NET3_B18_G6_T70.PDDL,,10,10,10,12,12,fail,6,,6
PW-Tankage, P28_NET3_B18_G7_T70.PDDL,,14,14,14,16,16,fail,6,,6
PW-Tankage, P29_NET3_B20_G6_T70.PDDL,,10,10,10,11,11,fail,8,,8
PW-Tankage, P30_NET3_B20_G8_T70.PDDL,,15,15,15,18,18,fail,7,,7
PW-Tankage, P31_NET4_B14_G3_T20.PDDL,39,9,9,9,9,9,fail,7,7,7
PW-Tankage, P32_NET4_B14_G5_T30.PDDL,,9,,9,11,11,fail,6,6,6
PW-Tankage, P33_NET4_B16_G5_T60.PDDL,,8,,8,9,9,fail,7,6,7
PW-Tankage, P34_NET4_B16_G6_T60.PDDL,,10,,10,12,12,fail,6,,6
PW-Tankage, P35_NET4_B18_G4_T90.PDDL,,7,,7,8,8,fail,6,,6
PW-Tankage, P36_NET4_B18_G6_T90.PDDL,,9,,9,10,10,fail,7,,7
PW-Tankage, P37_NET4_B20_G5_T60.PDDL,,8,,8,9,9,fail,5,,5
PW-Tankage, P38_NET4_B20_G7_T60.PDDL,,8,,8,10,10,fail,5,,5
PW-Tankage, P39_NET4_B22_G7_T50.PDDL,,9,,9,12,12,fail,6,,6
PW-Tankage, P40_NET4_B22_G8_T50.PDDL,,10,,10,13,13,fail,6,,6
PW-Tankage, P41_NET5_B22_G2_T20.PDDL,,6,6,6,6,6,8,4,,4
PW-Tankage, P42_NET5_B22_G4_T50.PDDL,,8,,8,9,9,fail,9,,9
PW-Tankage, P43_NET5_B24_G3_T80.PDDL,,6,,6,6,6,fail,9,,9
PW-Tankage, P44_NET5_B24_G5_T80.PDDL,,8,,8,8,8,fail,9,,9
PW-Tankage, P45_NET5_B26_G4_T50.PDDL,,9,,9,9,9,fail,9,,9
PW-Tankage, P46_NET5_B26_G6_T50.PDDL,,11,,11,13,13,fail,9,,9
PW-Tankage, P47_NET5_B28_G5_T50.PDDL,,12,,12,13,13,fail,9,,9
PW-Tankage, P48_NET5_B28_G7_T50.PDDL,,14,,14,16,16,fail,9,,9
PW-Tankage, P49_NET5_B30_G6_T50.PDDL,,10,,10,13,13,fail,7,,7
PW-Tankage, P50_NET5_B30_G8_T50.PDDL,,12,,12,14,14,fail,10,,10


PSR-Small, P01_S2_N1_L2_F50.PDDL,8,1,1,1,1,1,1,1,1,1
PSR-Small, P02_S5_N1_L3_F30.PDDL,11,1,1,1,1,1,1,1,1,1
PSR-Small, P03_S7_N1_L3_F70.PDDL,11,1,1,1,1,1,1,1,1,1
PSR-Small, P04_S8_N1_L4_F10.PDDL,10,1,1,1,1,1,1,1,1,1
PSR-Small, P05_S9_N1_L4_F30.PDDL,11,1,1,1,1,1,1,1,1,1
PSR-Small, P06_S10_N1_L4_F50.PDDL,8,1,1,1,1,1,1,1,1,1
PSR-Small, P07_S11_N1_L4_F70.PDDL,11,1,1,1,1,1,1,1,1,1
PSR-Small, P08_S12_N1_L5_F10.PDDL,8,1,1,1,1,1,1,1,1,1
PSR-Small, P09_S13_N1_L5_F30.PDDL,8,1,1,1,1,1,1,1,1,1
PSR-Small, P10_S17_N2_L2_F30.PDDL,7,2,2,2,2,2,2,2,2,2
PSR-Small, P11_S18_N2_L2_F50.PDDL,19,2,2,2,2,2,2,1,2,1
PSR-Small, P12_S21_N2_L3_F30.PDDL,16,2,2,2,2,2,2,1,2,1
PSR-Small, P13_S22_N2_L3_F50.PDDL,15,3,3,3,3,3,3,3,3,2
PSR-Small, P14_S23_N2_L3_F70.PDDL,9,2,2,2,2,2,2,2,2,1
PSR-Small, P15_S24_N2_L4_F10.PDDL,10,2,2,2,2,2,2,2,2,2
PSR-Small, P16_S29_N2_L5_F30.PDDL,25,3,3,3,3,3,3,2,2,2
PSR-Small, P17_S30_N2_L5_F50.PDDL,9,2,2,2,2,2,2,2,2,1
PSR-Small, P18_S31_N2_L5_F70.PDDL,12,2,2,2,2,2,2,2,2,1
PSR-Small, P19_S33_N3_L2_F30.PDDL,25,5,5,5,5,5,5,4,3,3
PSR-Small, P20_S34_N3_L2_F50.PDDL,17,3,3,3,3,3,3,2,3,1
PSR-Small, P21_S35_N3_L2_F70.PDDL,10,3,3,3,3,3,3,3,3,1
PSR-Small, P22_S37_N3_L3_F30.PDDL,33,4,4,4,4,4,4,2,4,2
PSR-Small, P23_S38_N3_L3_F50.PDDL,12,3,3,3,3,3,3,3,3,1
PSR-Small, P24_S39_N3_L3_F70.PDDL,10,3,3,3,3,3,3,3,3,1
PSR-Small, P25_S40_N3_L4_F10.PDDL,9,2,2,2,2,2,2,2,2,2
PSR-Small, P26_S41_N3_L4_F30.PDDL,17,3,3,3,3,3,3,2,3,1
PSR-Small, P27_S42_N3_L4_F50.PDDL,21,3,3,3,3,3,3,2,3,1
PSR-Small, P28_S43_N3_L4_F70.PDDL,14,3,3,3,3,3,3,3,3,1
PSR-Small, P29_S45_N3_L5_F30.PDDL,21,5,5,5,5,5,5,3,5,2
PSR-Small, P30_S46_N3_L5_F50.PDDL,22,3,3,3,3,3,3,2,3,1
PSR-Small, P31_S49_N4_L2_F30.PDDL,19,4,4,4,4,4,4,4,2,2
PSR-Small, P32_S50_N4_L2_F50.PDDL,24,4,4,4,4,4,4,3,4,1
PSR-Small, P33_S51_N4_L2_F70.PDDL,21,4,4,4,4,4,4,3,2,2
PSR-Small, P34_S55_N4_L3_F70.PDDL,21,4,4,4,4,4,4,3,4,1
PSR-Small, P35_S57_N5_L2_F30.PDDL,22,4,4,4,4,4,4,3,2,2
PSR-Small, P36_S65_N6_L2_F30.PDDL,22,6,6,6,6,6,6,6,3,3
PSR-Small, P37_S67_N6_L2_F70.PDDL,23,6,6,6,6,6,6,5,6,2
PSR-Small, P38_S78_N3_L3_F50.PDDL,13,3,3,3,3,3,3,3,3,2
PSR-Small, P39_S79_N3_L3_F70.PDDL,23,3,3,3,3,3,3,2,3,1
PSR-Small, P40_S80_N3_L4_F10.PDDL,20,3,3,3,3,3,3,2,2,2
PSR-Small, P41_S81_N3_L4_F30.PDDL,10,3,3,3,3,3,3,3,3,1
PSR-Small, P42_S82_N3_L4_F50.PDDL,30,4,4,4,4,4,4,3,2,2
PSR-Small, P43_S83_N3_L4_F70.PDDL,20,4,4,4,4,4,4,4,4,2
PSR-Small, P44_S89_N4_L2_F30.PDDL,19,5,5,5,5,5,5,4,5,2
PSR-Small, P45_S94_N4_L3_F50.PDDL,20,4,4,4,4,4,4,3,4,1
PSR-Small, P46_S97_N5_L2_F30.PDDL,34,5,5,5,5,5,5,2,2,2
PSR-Small, P47_S98_N5_L2_F50.PDDL,27,4,4,4,4,4,4,2,4,1
PSR-Small, P48_S101_N5_L3_F30.PDDL,37,5,5,5,5,5,5,3,5,2
PSR-Small, P49_S105_N6_L2_F30.PDDL,47,7,7,7,7,7,7,3,7,2
PSR-Small, P50_S107_N6_L2_F70.PDDL,23,6,6,6,6,6,6,5,6,1

Rovers, p01.pddl,10,9,9,9,9,9,9,8,9,4
Rovers, p02.pddl,8,7,7,7,7,7,7,6,7,3
Rovers, p03.pddl,11,7,8,8,7,8,9,7,6,4
Rovers, p04.pddl,8,7,7,7,7,7,8,7,8,3
Rovers, p05.pddl,22,14,14,13,14,14,18,13,16,4
Rovers, p06.pddl,,25,25,23,25,25,27,18,20,4
Rovers, p07.pddl,18,6,6,6,6,6,15,9,10,3
Rovers, p08.pddl,,8,8,8,8,8,21,12,15,4
Rovers, p09.pddl,,15,15,14,15,15,24,15,17,4
Rovers, p10.pddl,,11,11,11,11,11,26,14,11,3
Rovers, p11.pddl,,17,17,16,17,17,24,14,16,5
Rovers,p12.pddl,19,6,6,6,6,6,16,10,5,4
Rovers, p13.pddl,,12,12,12,12,12,fail,16,11,4
Rovers, p14.pddl,,14,14,13,14,14,22,12,16,4
Rovers, p15.pddl,,16,16,15,16,16,29,15,15,3
Rovers, p16.pddl,,11,11,11,11,11,fail,14,16,3
Rovers, p17.pddl,,21,21,20,21,21,fail,19,23,4
Rovers, p18.pddl,,11,11,11,11,11,fail,15,19,4
Rovers, p19.pddl,,17,17,17,17,17,fail,21,23,4
Rovers, p20.pddl,,20,20,20,20,20,fail,24,26,4
Rovers, p21.pddl,,14,14,14,14,14,fail,18,19,4
Rovers, p22.pddl,,16,16,16,16,16,fail,20,23,4
Rovers, p23.pddl,,19,19,19,19,19,fail,23,24,4
Rovers, p24.pddl,,21,21,21,21,21,fail,30,24,5
Rovers, p25.pddl,,10,10,10,10,10,fail,13,7,3
Rovers, p26.pddl,,14,14,14,14,14,fail,18,16,4
Rovers, p27.pddl,,20,20,20,20,20,fail,27,24,4
Rovers, p28.pddl,,19,19,19,19,19,fail,23,26,4
Rovers, p29.pddl,,16,16,16,16,16,fail,20,17,4
Rovers, p30.pddl,,25,25,25,25,25,fail,29,,4
Rovers, p31.pddl,,24,24,24,24,24,fail,28,28,4
Rovers, p32.pddl,,35,35,35,35,35,fail,,,4
Rovers, p33.pddl,,44,44,44,44,44,fail,,,4
Rovers, p34.pddl,,32,32,32,32,32,fail,,,4
Rovers, p35.pddl,,63,63,63,63,63,fail,,,5
Rovers, p36.pddl,,41,,41,41,41,fail,,,5
Rovers, p37.pddl,,58,,58,58,58,fail,,,5
Rovers, p38.pddl,,55,,55,55,55,fail,,,4
Rovers, p39.pddl,,63,,63,63,63,fail,72,,5
Rovers, p40.pddl,,69,,69,69,69,fail,,,4

Satellite, P01_PFILE1.PDDL,9,8,8,8,8,8,8,6,6,3
Satellite, P02_PFILE2.PDDL,13,12,12,12,12,12,12,8,6,3
Satellite, P03_PFILE3.PDDL,11,9,9,9,9,9,10,6,3,3
Satellite, P04_PFILE4.PDDL,17,17,17,17,17,17,17,9,3,3
Satellite, P05_PFILE5.PDDL,15,11,11,11,11,11,14,8,4,3
Satellite, P06_PFILE6.PDDL,20,17,17,17,17,17,18,10,4,3
Satellite, P07_PFILE7.PDDL,21,20,20,20,20,20,20,10,4,3
Satellite, P08_PFILE8.PDDL,,20,20,20,20,20,,12,2,3
Satellite, P09_PFILE9.PDDL,,21,21,21,21,21,26,13,5,3
Satellite, P10_PFILE10.PDDL,,28,28,28,28,28,29,14,3,3
Satellite, P11_PFILE11.PDDL,,30,30,30,30,30,,15,5,3
Satellite, P12_PFILE12.PDDL,,41,41,41,41,41,,24,4,3
Satellite, P13_PFILE13.PDDL,,53,53,53,53,53,,27,5,3
Satellite, P14_PFILE14.PDDL,,27,27,27,27,27,,19,5,3
Satellite, P15_PFILE15.PDDL,,32,32,32,32,32,,24,8,3
Satellite, P16_PFILE16.PDDL,,23,23,23,23,23,,24,6,3
Satellite, P17_PFILE17.PDDL,,20,20,20,20,20,,21,5,3
Satellite, P18_PFILE18.PDDL,,29,29,29,29,29,,15,2,3
Satellite, P19_PFILE19.PDDL,,43,43,43,43,43,,30,3,3
Satellite, P20_PFILE20.PDDL,,62,62,62,62,62,,42,3,3
Satellite, P21_HC_PFILE1.PDDL,,37,37,37,37,37,,37,5,3
Satellite, P22_HC_PFILE2.PDDL,,71,71,71,71,71,,45,4,3
Satellite, P23_HC_PFILE3.PDDL,,51,51,51,51,51,,51,6,3
Satellite, P24_HC_PFILE4.PDDL,,70,70,70,70,70,,70,6,3
Satellite, P25_HC_PFILE5.PDDL,,64,64,64,64,64,,64,6,3
Satellite, P26_HC_PFILE6.PDDL,,68,68,68,68,68,,68,6,3
Satellite, P27_HC_PFILE7.PDDL,,79,79,79,79,79,,68,3,3
Satellite,P28_HC_PFILE8.PDDL,,94,,,,,,95,3,3
Satellite,P29_HC_PFILE9.PDDL,,93,,,,,,95,8,3
Satellite,P30_HC_PFILE10.PDDL,,114,,,,,,114,8,3
Satellite,P31_HC_PFILE11.PDDL,,133,,,,,,134,5,3
Satellite,P32_HC_PFILE12.PDDL,,182,,,,,,182,,3
Satellite, P33_HC_PFILE13.PDDL,,231,,,,,,231,,3
Satellite, P34_HC_PFILE14.PDDL,,280,,,,,,142,3,3
Satellite, P35_HC_PFILE15.PDDL,,257,,,,,,188,5,3
Satellite, P36_HC_PFILE16.PDDL,,178,,,,,,178,5,3


TPP, p01.pddl,5,4,4,4,4,4,4,4,4,4
TPP, p02.pddl,8,7,7,7,7,7,7,7,7,4
TPP, p03.pddl,11,10,10,10,10,10,10,10,10,4
TPP, p04.pddl,14,13,13,13,13,13,13,13,13,4
TPP, p05.pddl,19,10,17,10,10,10,17,17,15,5
TPP, p06.pddl,25,7,15,7,7,7,21,13,15,6
TPP, p07.pddl,,10,18,10,10,10,26,16,21,6
TPP, p08.pddl,,12,20,12,12,12,30,19,25,6
TPP, p09.pddl,,14,14,14,14,14,35,20,,7
TPP, p10.pddl,,16,16,16,16,16,39,22,,7
TPP, p11.pddl,,15,15,15,15,15,30,22,25,8
TPP, p12.pddl,,15,15,15,15,15,32,21,27,8
TPP, p13.pddl,,13,13,13,13,13,31,18,,6
TPP, p14.pddl,,19,19,19,19,19,fail,24,,6
TPP, p15.pddl,,23,23,23,23,23,fail,28,,6
TPP, p16.pddl,,28,28,28,28,28,52,32,,8
TPP, p17.pddl,,23,23,,,,50,,,8
TPP, p18.pddl,,22,22,,,,51,,,8
TPP,p19.pddl,,31,31,,,,62,,,7
TPP,p20.pddl,,36,36,,,,69,,,9
TPP,p21.pddl,,36,36,,,,fail,,,9
TPP,p22.pddl,,27,27,,,,fail,,,8
TPP,p23.pddl,,35,35,,,,fail,,,9
TPP,p24.pddl,,35,35,,,,fail,,,8
TPP,p25.pddl,,43,43,,,,fail,,,8
TPP,p26.pddl,,44,,,,,fail,,,9
TPP,p27.pddl,,48,,,,,fail,,,9
TPP,p28.pddl,,50,,,,,fail,,,9
TPP,p29.pddl,,61,,,,,fail,,,9
TPP,p30.pddl,,58,,,,,fail,,,9

Zeno-Travel, pfile1.pddl,1,1,1,1,1,1,1,1,1,1
Zeno-Travel, pfile2.pddl,6,4,4,4,4,4,4,3,3,3
Zeno-Travel, pfile3.pddl,6,5,5,5,5,5,5,5,5,3
Zeno-Travel, pfile4.pddl,8,6,6,6,6,6,6,5,5,3
Zeno-Travel, pfile5.pddl,11,10,10,10,10,10,11,9,9,3
Zeno-Travel, pfile6.pddl,11,10,10,10,10,10,11,9,8,3
Zeno-Travel, pfile7.pddl,15,10,10,10,10,10,11,9,8,3
Zeno-Travel, pfile8.pddl,11,10,10,10,10,10,10,7,7,3
Zeno-Travel, pfile9.pddl,21,17,17,17,17,17,18,15,14,3
Zeno-Travel, pfile10.pddl,22,19,19,19,19,19,20,17,17,3
Zeno-Travel, pfile11.pddl,14,12,12,12,12,12,12,9,9,3
Zeno-Travel, pfile12.pddl,,17,17,17,17,17,19,15,14,3
Zeno-Travel, pfile13.pddl,,22,22,22,22,22,23,19,18,3
Zeno-Travel, pfile14.pddl,,12,12,12,12,12,fail,21,21,3
Zeno-Travel, pfile15.pddl,,12,12,12,12,12,fail,25,24,3
Zeno-Travel, pfile16.pddl,,15,15,15,15,15,fail,28,28,3
Zeno-Travel, pfile17.pddl,,21,21,21,21,21,fail,40,40,3
Zeno-Travel, pfile18.pddl,,19,19,19,19,19,fail,37,37,3
Zeno-Travel, pfile19.pddl,,24,24,24,24,24,fail,46,46,3
Zeno-Travel, pfile20.pddl,,25,25,25,25,25,fail,51,50,3

Trucks, p01.pddl,13,7,7,,,,11,6,10,4
Trucks, p02.pddl,17,9,9,,,,14,7,13,4
Trucks, p03.pddl,20,11,11,,,,17,8,16,4
Trucks, p04.pddl,23,13,13,,,,20,9,19,4
Trucks, p05.pddl,25,16,16,,,,23,10,22,4
Trucks, p06.pddl,,18,18,,,,26,11,25,4
Trucks, p07.pddl,23,13,13,,,,20,9,19,4
Trucks, p08.pddl,,17,17,,,,,10,22,4
Trucks, p09.pddl,,18,18,,,,26,13,25,4
Trucks, p10.pddl,,20,20,,,,30,14,28,4
Trucks, p11.pddl,,23,23,,,,,13,31,4
Trucks, p12.pddl,,24,24,,,,,18,34,4
Trucks, p13.pddl,,21,21,,,,30,12,28,4
Trucks, p14.pddl,,24,24,,,,,13,31,4
Trucks, p15.pddl,,25,25,,,,,14,34,4
Trucks, p16.pddl,,27,27,,,,,15,37,4
Trucks, p17.pddl,,30,30,,,,,16,,4
Trucks, p18.pddl,,32,32,,,,,17,,4
Trucks, p19.pddl,,29,29,,,,,15,,4
Trucks,p20.pddl,,30,30,,,,,16,,4
Trucks,p21.pddl,,32,32,,,,,17,,4
Trucks,p22.pddl,,34,34,,,,,18,,4
Trucks,p23.pddl,,37,37,,,,,19,,4
Trucks,p24.pddl,,,39,,,,,20
Trucks,p25.pddl,,,34
Trucks,p26.pddl
Trucks,p27.pddl
Trucks,p28.pddl
Trucks,p29.pddl
Trucks,p30.pddl

M10(Miconic), s1-0.pddl,,3,3,3,3,3,3,3,3,3
M10(Miconic), s1-1.pddl,,3,3,3,3,3,3,3,2,2
M10(Miconic), s1-2.pddl,,3,3,3,3,3,3,3,3,3
M10(Miconic), s1-3.pddl,,3,3,3,3,3,3,3,3,3
M10(Miconic), s1-4.pddl,,3,3,3,3,3,3,3,3,3
M10(Miconic), s2-0.pddl,,7,7,7,7,7,7,5,5,3
M10(Miconic), s2-1.pddl,,6,6,6,6,6,6,5,5,3
M10(Miconic), s2-2.pddl,,6,6,6,6,6,6,5,5,3
M10(Miconic), s2-3.pddl,,7,7,7,7,7,7,5,5,3
M10(Miconic), s2-4.pddl,,6,6,6,6,6,6,5,5,3
M10(Miconic), s3-0.pddl,,10,10,10,10,10,10,7,5,3
M10(Miconic), s3-1.pddl,,10,10,10,10,10,10,7,5,3
M10(Miconic), s3-2.pddl,,9,9,9,9,9,9,7,5,3
M10(Miconic), s3-3.pddl,,9,9,9,9,9,9,7,7,3
M10(Miconic), s3-4.pddl,,9,9,9,9,9,9,7,7,3
M10(Miconic), s4-0.pddl,,14,14,14,14,14,14,9,5,3
M10(Miconic), s4-1.pddl,,13,13,13,13,13,13,9,9,3
M10(Miconic), s4-2.pddl,,14,14,14,14,14,14,9,5,3
M10(Miconic), s4-3.pddl,,14,14,14,14,14,14,9,5,3
M10(Miconic), s4-4.pddl,,15,15,15,15,15,15,9,5,3
M10(Miconic), s5-0.pddl,,17,17,17,17,17,17,11,5,3
M10(Miconic), s5-1.pddl,,16,16,16,16,16,16,11,5,3
M10(Miconic), s5-2.pddl,,14,14,14,14,14,14,11,7,3
M10(Miconic), s5-3.pddl,,17,17,17,17,17,17,11,5,3
M10(Miconic), s5-4.pddl,,17,17,17,17,17,17,11,5,3
M10(Miconic), s6-0.pddl,,18,18,18,18,18,18,13,5,3
M10(Miconic), s6-1.pddl,,19,19,19,19,19,19,13,5,3
M10(Miconic), s6-2.pddl,,19,19,19,19,19,19,13,5,3
M10(Miconic), s6-3.pddl,,18,18,18,18,18,18,13,5,3
M10(Miconic), s6-4.pddl,,20,20,20,20,20,20,13,5,3
M10(Miconic), s7-0.pddl,,23,23,23,23,23,23,15,5,3
M10(Miconic), s7-1.pddl,,24,24,24,24,24,24,15,5,3
M10(Miconic), s7-2.pddl,,22,22,22,22,22,22,15,5,3
M10(Miconic), s7-3.pddl,,22,22,22,22,22,22,15,7,3
M10(Miconic), s7-4.pddl,,25,25,25,25,25,25,15,5,3
M10(Miconic), s8-0.pddl,,27,27,27,27,27,27,17,5,3
M10(Miconic), s8-1.pddl,,26,26,26,26,26,26,17,5,3
M10(Miconic), s8-2.pddl,,25,25,25,25,25,25,17,5,3
M10(Miconic), s8-3.pddl,,27,27,27,27,27,27,17,7,3
M10(Miconic), s8-4.pddl,,26,26,26,26,26,26,17,5,3
M10(Miconic), s9-0.pddl,,30,30,30,30,30,30,19,5,3
M10(Miconic), s9-1.pddl,,29,29,29,29,29,29,19,5,3
M10(Miconic), s9-2.pddl,,29,29,29,29,29,29,19,7,3
M10(Miconic), s9-3.pddl,,31,31,31,31,31,31,19,5,3
M10(Miconic), s9-4.pddl,,27,27,27,27,27,27,19,7,3
M10(Miconic), s10-0.pddl,,33,33,33,33,33,33,21,5,3
M10(Miconic), s10-1.pddl,,32,32,32,32,32,32,21,7,3
M10(Miconic), s10-2.pddl,,31,31,31,31,31,31,21,5,3
M10(Miconic), s10-3.pddl,,34,34,34,34,34,34,21,5,3
M10(Miconic), s10-4.pddl,,32,32,32,32,32,32,21,5,3
M10(Miconic), s11-0.pddl,,36,36,36,36,36,36,23,5,3
M10(Miconic), s11-1.pddl,,34,34,34,34,34,34,23,5,3
M10(Miconic), s11-2.pddl,,37,37,37,37,37,37,23,5,3
M10(Miconic), s11-3.pddl,,37,37,37,37,37,37,23,5,3
M10(Miconic), s11-4.pddl,,34,34,34,34,34,34,23,5,3
M10(Miconic), s12-0.pddl,,40,40,40,40,40,40,25,5,3
M10(Miconic), s12-1.pddl,,40,40,40,40,40,40,25,5,3
M10(Miconic), s12-2.pddl,,39,39,39,39,39,39,25,5,3
M10(Miconic), s12-3.pddl,,38,38,38,38,38,38,25,5,3
M10(Miconic), s12-4.pddl,,41,41,41,41,41,41,25,5,3
M10(Miconic), s13-0.pddl,,43,43,43,43,43,43,27,5,3
M10(Miconic), s13-1.pddl,,41,41,41,41,41,41,27,5,3
M10(Miconic), s13-2.pddl,,46,46,46,46,46,46,27,5,3
M10(Miconic), s13-3.pddl,,43,43,43,43,43,43,27,5,3
M10(Miconic), s13-4.pddl,,41,41,41,41,41,41,27,5,3
M10(Miconic), s14-0.pddl,,45,45,45,45,45,45,29,5,3
M10(Miconic), s14-1.pddl,,47,47,47,47,47,47,29,5,3
M10(Miconic), s14-2.pddl,,49,49,49,49,49,49,29,5,3
M10(Miconic), s14-3.pddl,,42,42,42,42,42,42,29,5,3
M10(Miconic), s14-4.pddl,,45,45,45,45,45,45,29,5,3
M10(Miconic), s15-0.pddl,,46,46,46,46,46,46,31,5,3
M10(Miconic), s15-1.pddl,,49,49,49,49,49,49,31,5,3
M10(Miconic), s15-2.pddl,,49,49,49,49,49,49,31,5,3
M10(Miconic), s15-3.pddl,,50,50,50,50,50,50,31,5,3
M10(Miconic), s15-4.pddl,,46,46,46,46,46,46,31,5,3
M10(Miconic), s16-0.pddl,,53,53,53,53,53,53,33,5,3
M10(Miconic), s16-1.pddl,,52,52,52,52,52,52,33,5,3
M10(Miconic), s16-2.pddl,,54,54,54,54,54,54,33,5,3
M10(Miconic), s16-3.pddl,,51,51,51,51,51,51,33,5,3
M10(Miconic), s16-4.pddl,,53,53,53,53,53,53,33,5,3
M10(Miconic), s17-0.pddl,,55,55,55,55,55,55,35,5,3
M10(Miconic), s17-1.pddl,,54,54,54,54,54,54,35,5,3
M10(Miconic), s17-2.pddl,,54,54,54,54,54,54,35,5,3
M10(Miconic), s17-3.pddl,,59,59,59,59,59,59,35,5,3
M10(Miconic), s17-4.pddl,,54,54,54,54,54,54,35,5,3
M10(Miconic), s18-0.pddl,,59,59,59,59,59,59,37,5,3
M10(Miconic), s18-1.pddl,,58,58,58,58,58,58,37,5,3
M10(Miconic), s18-2.pddl,,58,58,58,58,58,58,37,5,3
M10(Miconic), s18-3.pddl,,59,59,59,59,59,59,37,5,3
M10(Miconic), s18-4.pddl,,56,56,56,56,56,56,37,5,3
M10(Miconic), s19-0.pddl,,62,62,62,62,62,62,39,5,3
M10(Miconic), s19-1.pddl,,65,65,65,65,65,65,39,5,3
M10(Miconic), s19-2.pddl,,61,61,61,61,61,61,39,5,3
M10(Miconic), s19-3.pddl,,63,63,63,63,63,63,39,5,3
M10(Miconic), s19-4.pddl,,62,62,62,62,62,62,39,5,3
M10(Miconic), s20-0.pddl,,63,63,63,63,63,63,41,5,3
M10(Miconic), s20-1.pddl,,66,66,66,66,66,66,41,5,3
M10(Miconic), s20-2.pddl,,62,62,62,62,62,62,41,5,3
M10(Miconic), s20-3.pddl,,63,63,63,63,63,63,41,5,3
M10(Miconic), s20-4.pddl,,64,64,64,64,64,64,41,5,3
M10(Miconic), s21-0.pddl,,69,69,69,69,69,69,43,5,3
M10(Miconic), s21-1.pddl,,69,69,69,69,69,69,43,7,3
M10(Miconic), s21-2.pddl,,69,69,69,69,69,69,43,5,3
M10(Miconic), s21-3.pddl,,66,66,66,66,66,66,43,5,3
M10(Miconic), s21-4.pddl,,70,70,70,70,70,70,43,5,3
M10(Miconic), s22-0.pddl,,72,72,72,72,72,72,45,5,3
M10(Miconic), s22-1.pddl,,70,70,70,70,70,70,45,5,3
M10(Miconic), s22-2.pddl,,71,71,71,71,71,71,45,5,3
M10(Miconic), s22-3.pddl,,75,75,75,75,75,75,45,5,3
M10(Miconic), s22-4.pddl,,71,71,71,71,71,71,45,5,3
M10(Miconic), s23-0.pddl,,75,75,75,75,75,75,47,5,3
M10(Miconic), s23-1.pddl,,74,74,74,74,74,74,47,5,3
M10(Miconic), s23-2.pddl,,73,73,73,73,73,73,47,5,3
M10(Miconic), s23-3.pddl,,71,71,71,71,71,71,47,5,3
M10(Miconic), s23-4.pddl,,74,74,74,74,74,74,47,5,3
M10(Miconic), s24-0.pddl,,79,79,79,79,79,79,49,5,3
M10(Miconic), s24-1.pddl,,78,78,78,78,78,78,49,5,3
M10(Miconic), s24-2.pddl,,77,77,77,77,77,77,49,5,3
M10(Miconic), s24-3.pddl,,79,79,79,79,79,79,49,5,3
M10(Miconic), s24-4.pddl,,77,77,77,77,77,77,49,7,3
M10(Miconic), s25-0.pddl,,81,81,81,81,81,81,51,5,3
M10(Miconic), s25-1.pddl,,85,85,85,85,85,85,51,5,3
M10(Miconic), s25-2.pddl,,78,78,78,78,78,78,51,5,3
M10(Miconic), s25-3.pddl,,84,84,84,84,84,84,51,5,3
M10(Miconic), s25-4.pddl,,82,82,82,82,82,82,51,5,3
M10(Miconic), s26-0.pddl,,83,83,83,83,83,83,53,5,3
M10(Miconic), s26-1.pddl,,83,83,83,83,83,83,53,5,3
M10(Miconic), s26-2.pddl,,90,90,90,90,90,90,53,5,3
M10(Miconic), s26-3.pddl,,88,88,88,88,88,88,53,5,3
M10(Miconic), s26-4.pddl,,82,82,82,82,82,82,53,5,3
M10(Miconic), s27-0.pddl,,87,87,87,87,87,87,55,5,3
M10(Miconic), s27-1.pddl,,91,91,91,91,91,91,55,5,3
M10(Miconic), s27-2.pddl,,87,87,87,87,87,87,55,7,3
M10(Miconic), s27-3.pddl,,89,89,89,89,89,89,55,5,3
M10(Miconic), s27-4.pddl,,88,88,88,88,88,88,55,7,3
M10(Miconic), s28-0.pddl,,94,94,94,94,94,94,57,5,3
M10(Miconic), s28-1.pddl,,92,92,92,92,92,92,57,5,3
M10(Miconic), s28-2.pddl,,93,93,93,93,93,93,57,5,3
M10(Miconic), s28-3.pddl,,87,87,87,87,87,87,57,5,3
M10(Miconic), s28-4.pddl,,92,92,92,92,92,92,57,5,3
M10(Miconic), s29-0.pddl,,94,94,94,94,94,94,59,5,3
